date,code,open,high,low,close,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2015-07-01,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-02,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-03,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-06,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-07,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-08,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-09,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-10,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-13,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-14,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-15,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-16,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-17,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-20,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-21,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-22,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-23,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-24,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-27,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-28,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-29,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-30,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-07-31,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-03,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-04,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-05,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-06,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-07,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
2015-08-10,sh.603939,99.88,99.88,99.88,99.88,0.0,0.0,3,,0,0.0,106.838431,11.777558,6.733369000000001,34.619709,0.0
